job_card_no,warning_type,detail,created_at
2023/3/R/27,ODOMETER_EXTRACTED,135198 Km,2026-07-12 10:48:40
2023/3/R/32,EQUIPMENT_ASSET,police power generator,2026-07-12 10:48:40
2023/3/R/50,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2023/3/R/54,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2023/3/R/58,EQUIPMENT_ASSET,Bar bender,2026-07-12 10:48:40
2023/3/R/68,EQUIPMENT_ASSET,3 phase motor,2026-07-12 10:48:40
2023/3/R/69,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2023/4/R/121,DATE_INVERTED,opened 2023-04-26 > closed 2023-04-24,2026-07-12 10:48:40
2023/4/R/123,ODOMETER_EXTRACTED,263537 Km,2026-07-12 10:48:40
2023/5/R/143,NONSTANDARD_SITE,W/S C-com,2026-07-12 10:48:40
2023/5/R/165,EQUIPMENT_ASSET,Slasher,2026-07-12 10:48:40
2023/5/R/183,NONSTANDARD_SITE,TR-01,2026-07-12 10:48:40
2023/6/R/193,ODOMETER_EXTRACTED,290478 Km,2026-07-12 10:48:40
2023/6/R/211,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2023/6/R/215,NONSTANDARD_SITE,TR-03,2026-07-12 10:48:40
2023/6/R/244,ODOMETER_EXTRACTED,152778 Km,2026-07-12 10:48:40
2023/6/R/248,EQUIPMENT_ASSET,Heat Machine,2026-07-12 10:48:40
2023/7/R/255,ODOMETER_EXTRACTED,5118 Hrs,2026-07-12 10:48:40
2023/7/R/288,EQUIPMENT_ASSET,service bay,2026-07-12 10:48:40
2023/7/R/309,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2023/7/R/348,EQUIPMENT_ASSET,Fabrication WG,2026-07-12 10:48:40
2023/8/R/397,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2023/8/R/398,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2023/8/R/400,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2023/9/R/444,EQUIPMENT_ASSET,"2"" water pump",2026-07-12 10:48:40
2023/9/R/470,EQUIPMENT_ASSET,tafe tractor,2026-07-12 10:48:40
2023/9/R/476,EQUIPMENT_ASSET,plate compactor,2026-07-12 10:48:40
2023/9/R/480,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2023/9/R/485,NONSTANDARD_SITE,ja-ela bridge,2026-07-12 10:48:40
2023/9/R/485,EQUIPMENT_ASSET,"sub. 2"" water pump",2026-07-12 10:48:40
2023/9/R/488,DATE_INVERTED,opened 2023-09-23 > closed 2023-09-18,2026-07-12 10:48:40
2023/10/R/518,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2023/10/R/546,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2023/11/R/556,EQUIPMENT_ASSET,plate compactor,2026-07-12 10:48:40
2023/11/R/567,EQUIPMENT_ASSET,Power tools,2026-07-12 10:48:40
2023/11/R/572,EQUIPMENT_ASSET,concrete mixture,2026-07-12 10:48:40
2023/11/R/577,EQUIPMENT_ASSET,water pressure pump,2026-07-12 10:48:40
2023/11/R/581,EQUIPMENT_ASSET,tractor,2026-07-12 10:48:40
2023/11/R/588,EQUIPMENT_ASSET,concrete mixture,2026-07-12 10:48:40
2023/11/R/606,EQUIPMENT_ASSET,wacker 2nos,2026-07-12 10:48:40
2023/11/R/618,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2023/11/R/621,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2023/12/R/629,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2023/12/R/633,EQUIPMENT_ASSET,"6"" water pump",2026-07-12 10:48:40
2023/12/R/643,EQUIPMENT_ASSET,"6"" water pump",2026-07-12 10:48:40
2023/12/R/645,DATE_INVERTED,opened 2025-12-08 > closed 2023-12-16,2026-07-12 10:48:40
2023/12/R/646,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2023/12/R/656,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2023/12/R/672,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2023/12/R/674,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2023/12/R/677,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2023/12/R/694,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2024/1/R/004,EQUIPMENT_ASSET,concrete mixture,2026-07-12 10:48:40
2024/1/R/023,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/1/R/033,EQUIPMENT_ASSET,Water pump,2026-07-12 10:48:40
2024/1/R/055,ODOMETER_EXTRACTED,266282 Km,2026-07-12 10:48:40
2024/1/R/057,ODOMETER_EXTRACTED,1281 Hrs,2026-07-12 10:48:40
2024/1/R/071,ODOMETER_EXTRACTED,780 Hrs,2026-07-12 10:48:40
2024/2/R/080,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/082,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/084,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/085,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/086,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/097,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/098,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/100,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/105,EQUIPMENT_ASSET,concrete mixture,2026-07-12 10:48:40
2024/2/R/106,EQUIPMENT_ASSET,concrete mixture,2026-07-12 10:48:40
2024/2/R/111,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/112,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/115,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/116,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/123,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/124,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/125,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/126,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/129,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/136,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/137,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/138,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/2/R/140,ODOMETER_EXTRACTED,301607 Km,2026-07-12 10:48:40
2024/3/R/143,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/148,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/149,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/152,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/153,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/153,EQUIPMENT_ASSET,Bar cutter,2026-07-12 10:48:40
2024/3/R/155,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/157,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/161,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/161,EQUIPMENT_ASSET,"2"" water pump",2026-07-12 10:48:40
2024/3/R/162,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/162,ODOMETER_EXTRACTED,1007 Hrs,2026-07-12 10:48:40
2024/3/R/175,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/175,EQUIPMENT_ASSET,"6"" water pump",2026-07-12 10:48:40
2024/3/R/176,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/177,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/178,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/179,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/180,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/181,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/187,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/188,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/189,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/190,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/192,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2024/3/R/196,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/197,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/198,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/199,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/200,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/202,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/204,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/216,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/217,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/218,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/219,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/220,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/3/R/225,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/4/R/244,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/4/R/245,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/4/R/246,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/4/R/259,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/4/R/262,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/4/R/264,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/4/R/269,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/4/R/270,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/4/R/278,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2024/4/R/280,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/4/R/285,EQUIPMENT_ASSET,4WD bike,2026-07-12 10:48:40
2024/4/R/289,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/4/R/290,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/5/R/308,NONSTANDARD_SITE,h/o,2026-07-12 10:48:40
2024/5/R/309,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/5/R/310,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/5/R/314,EQUIPMENT_ASSET,wacker 2nos,2026-07-12 10:48:40
2024/5/R/315,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/5/R/316,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/5/R/317,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/5/R/318,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/5/R/319,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/5/R/320,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/5/R/335,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/5/R/336,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/5/R/339,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/5/R/341,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/5/R/342,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/5/R/345,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/5/R/347,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/6/R/352,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/6/R/353,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/6/R/359,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/6/R/362,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/6/R/367,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/6/R/368,ODOMETER_EXTRACTED,250 Hrs,2026-07-12 10:48:40
2024/6/R/370,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/6/R/371,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/6/R/377,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/6/R/379,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/6/R/380,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/6/R/387,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/6/R/388,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/6/R/391,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/6/R/395,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/6/R/397,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
