legacy_receipt_id,legacy_item_id,received_qty,delivery_date,purchase_source,grn_number,invoice_number,invoice_date,supplier_name,unit_price,is_priced,transaction_type,created_at
3381,10028,10,2026-07-10,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3380,10027,2,2026-07-10,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3376,10005,1,2026-07-09,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3377,9992,1,2026-07-09,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3379,10026,20,2026-07-08,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3378,10004,1,2026-07-09,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3326,9974,210,2026-07-07,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3330,9973,1,2026-07-07,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3329,9972,1,2026-07-07,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3328,9971,1,2026-07-07,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3340,9970,2,2026-07-07,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3339,9969,1,2026-07-07,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3338,9968,1,2026-07-07,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3336,9967,3,2026-07-07,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3337,9966,1,2026-07-07,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3335,9965,0.5,2026-07-07,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3365,9961,1,2026-07-08,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3366,9960,1,2026-07-08,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3367,9959,2,2026-07-08,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3333,9955,1,2026-07-07,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3332,9949,1,2026-07-07,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3334,9946,1,2026-07-07,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3373,9939,1,2026-07-08,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3374,9938,2,2026-07-08,Direct Purchase,,,,,,0,Receive,2026-07-12 10:48:41
3375,9937,1,2026-07-08,Direct Purchase,,,,,,0,Receive,2026-07-12 10:48:41
3316,9932,1,2026-07-06,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3315,9931,1,2026-07-06,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3299,9877,1,2026-07-04,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3298,9876,3,2026-07-04,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3297,9875,4,2026-07-04,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3295,9878,1,2026-07-04,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3318,9916,1,2026-07-06,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3319,9915,2,2026-07-06,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3320,9911,2,2026-07-06,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3321,9910,2,2026-07-06,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3322,9909,2,2026-07-06,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
3372,9980,8,2026-07-08,Direct Purchase,,,,,,0,Receive,2026-07-12 10:48:41
3341,9906,1,2026-07-07,Direct Purchase,,,,,,0,Receive,2026-07-12 10:48:41
3342,9905,1,2026-07-07,Direct Purchase,,,,,,0,Receive,2026-07-12 10:48:41
3312,9930,4,2026-07-04,Local Store,,,,,,0,Receive,2026-07-12 10:48:41
