asset_key,raw_value,kind,asset_code,dept_code,matched_asset_id,created_at
work shop stores,Work Shop Stores,DEPT,,WS-STR,,2026-07-12 10:48:41
smg-02,SMG-02,ASSET,SMG-02,,,2026-07-12 10:48:41
lb-1720,LB-1720,ASSET,LB-1720,,,2026-07-12 10:48:41
zb-1980,ZB-1980,ASSET,ZB-1980,,,2026-07-12 10:48:41
tinkering work shop,Tinkering Work Shop,DEPT,,WS-TNK,,2026-07-12 10:48:41
48-8072,48-8072,ASSET,48-8072,,,2026-07-12 10:48:41
28-4314,28-4314,ASSET,28-4314,,,2026-07-12 10:48:41
41-1130,41-1130,ASSET,41-1130,,,2026-07-12 10:48:41
lp-1713,LP-1713,ASSET,LP-1713,,,2026-07-12 10:48:41
pa-6399,PA-6399,ASSET,PA-6399,,,2026-07-12 10:48:41
sl-09,SL-09,ASSET,SL-09,,,2026-07-12 10:48:41
work shop stock,Work Shop Stock,DEPT,,WS-STK,,2026-07-12 10:48:41
ln-1867,LN-1867,ASSET,LN-1867,,,2026-07-12 10:48:41
hex-05,HEX-05,ASSET,HEX-05,,,2026-07-12 10:48:41
mg-17,MG-17,ASSET,MG-17,,,2026-07-12 10:48:41
za-7034,ZA-7034,ASSET,ZA-7034,,,2026-07-12 10:48:41
vr-54,VR-54,ASSET,VR-54,,,2026-07-12 10:48:41
ly-1614,LY-1614,ASSET,LY-1614,,,2026-07-12 10:48:41
work shop office,Work Shop Office,DEPT,,WS-OFF,,2026-07-12 10:48:41
hex-43,HEX-43,ASSET,HEX-43,,,2026-07-12 10:48:41
hu-5097,HU-5097,ASSET,HU-5097,,,2026-07-12 10:48:41
lk-4057,LK-4057,ASSET,LK-4057,,,2026-07-12 10:48:41
lk-5047,LK-5047,ASSET,LK-5047,,,2026-07-12 10:48:41
tinker nawathilaka,Tinker Nawathilaka,DEPT,,WS-TNK,,2026-07-12 10:48:41
machanical dilipa,Machanical Dilipa,DEPT,,WS-MCH,,2026-07-12 10:48:41
machanic kumara,Machanic Kumara,DEPT,,WS-MCH,,2026-07-12 10:48:41
lp-1720,LP-1720,ASSET,LP-1720,,,2026-07-12 10:48:41
cr-02,CR-02,ASSET,CR-02,,,2026-07-12 10:48:41
rc-9894,RC-9894,ASSET,RC-9894,,,2026-07-12 10:48:41
lo-4824,LO-4824,ASSET,LO-4824,,,2026-07-12 10:48:41
hex-17,HEX-17,ASSET,HEX-17,,,2026-07-12 10:48:41
li-3851,LI-3851,ASSET,LI-3851,,,2026-07-12 10:48:41
165480,165480,ASSET,165480,,,2026-07-12 10:48:41
51-7158,51-7158,ASSET,51-7158,,,2026-07-12 10:48:41
hex-42,HEX-42,ASSET,HEX-42,,,2026-07-12 10:48:41
01 bags concrete mixer,01 Bags Concrete Mixer,ASSET,01 Bags Concrete Mixer,,,2026-07-12 10:48:41
"lp-1711, lp-1719, lp-1712","LP-1711, LP-1719, LP-1712",ASSET,"LP-1711, LP-1719, LP-1712",,,2026-07-12 10:48:41
trainee machanic a.k.m.a senarath,Trainee Machanic A.K.M.A Senarath,DEPT,,,,2026-07-12 10:48:41
trainee machanic v.a janith piumal,Trainee Machanic V.A Janith Piumal,DEPT,,,,2026-07-12 10:48:41
67-5115,67-5115,ASSET,67-5115,,,2026-07-12 10:48:41
lp-1571,LP-1571,ASSET,LP-1571,,,2026-07-12 10:48:41
py-2408,PY-2408,ASSET,PY-2408,,,2026-07-12 10:48:41
lk-5041,LK-5041,ASSET,LK-5041,,,2026-07-12 10:48:41
48-4849,48-4849,ASSET,48-4849,,,2026-07-12 10:48:41
dah-2229,DAH-2229,ASSET,DAH-2229,,,2026-07-12 10:48:41
ld-05,LD-05,ASSET,LD-05,,,2026-07-12 10:48:41
zb-1979,ZB-1979,ASSET,ZB-1979,,,2026-07-12 10:48:41
"lo-8349, lo-8350","LO-8349, LO-8350",ASSET,"LO-8349, LO-8350",,,2026-07-12 10:48:41
