item_key,item_name,item_description,category_raw,category_code,uom,matched_item_id,created_at
hub grease 12kg (valvoline),Hub Grease 12Kg (Valvoline),Kg,Oil & Lubricants,oil_lubricants,Kg,,2026-07-12 10:48:41
diesel,Diesel,For Repair,General Items,general_items,EA,,2026-07-12 10:48:41
used diesel,Used Diesel,,General Items,general_items,EA,,2026-07-12 10:48:41
air filter (pa-1055),Air Filter (PA-1055),,Filters,filters,EA,,2026-07-12 10:48:41
pvc tape,PVC Tape,,General Items,general_items,EA,,2026-07-12 10:48:41
13amp plug base,13Amp Plug Base,,Battery,battery,EA,,2026-07-12 10:48:41
inter cooler hose clip,Inter Cooler Hose Clip,,Hydraulics,hydraulics,EA,,2026-07-12 10:48:41
wiper motor repair,Wiper Motor Repair,,General Items,general_items,EA,,2026-07-12 10:48:41
alternator repair (battery not working),Alternator Repair (Battery Not Working),,Battery,battery,EA,,2026-07-12 10:48:41
brake light cup (rear l),Brake Light Cup (Rear L),,General Items,general_items,EA,,2026-07-12 10:48:41
spring blade bush replacing,Spring Blade Bush Replacing,,Bearings & Seals,bearings_seals,EA,,2026-07-12 10:48:41
brake light cup (rear),Brake Light Cup (Rear),,General Items,general_items,EA,,2026-07-12 10:48:41
"1 1/2""*2"" copper bronse","1 1/2""*2"" Copper Bronse",,General Items,general_items,EA,,2026-07-12 10:48:41
fuel filter mahendra (at54331/1001caa 14881n),Fuel Filter Mahendra (AT54331/1001CAA 14881N),,Filters,filters,EA,,2026-07-12 10:48:41
fuel filter (fc-1821),Fuel Filter (FC-1821),,Filters,filters,EA,,2026-07-12 10:48:41
oil filter (c-1511),Oil Filter (C-1511),,Filters,filters,EA,,2026-07-12 10:48:41
primery fuel filter (fc-1521),Primery Fuel Filter (FC-1521),,Filters,filters,EA,,2026-07-12 10:48:41
air filter (js-3704a),Air Filter (JS-3704A),,Filters,filters,EA,,2026-07-12 10:48:41
engine oil filter (c-5604),Engine Oil Filter (C-5604),,Filters,filters,EA,,2026-07-12 10:48:41
oil filter (js-1876),Oil Filter (JS-1876),,Filters,filters,EA,,2026-07-12 10:48:41
primery fuel filter (js-1076),Primery Fuel Filter (JS-1076),,Filters,filters,EA,,2026-07-12 10:48:41
fuel water separator (1000447498),Fuel Water Separator (1000447498),,General Items,general_items,EA,,2026-07-12 10:48:41
fuel filter (32-925994),Fuel Filter (32-925994),,Filters,filters,EA,,2026-07-12 10:48:41
oil filter (c-206),Oil Filter (C-206),,Filters,filters,EA,,2026-07-12 10:48:41
fuel filter (fc 707a),Fuel Filter (FC 707A),,Filters,filters,EA,,2026-07-12 10:48:41
fuel filter (2766 0798 9916),Fuel Filter (2766 0798 9916),,Filters,filters,EA,,2026-07-12 10:48:41
fuel line filter (2786 9999 9920),Fuel Line Filter (2786 9999 9920),,Filters,filters,EA,,2026-07-12 10:48:41
fuel water seperator (2786 0911 9904),Fuel Water Seperator (2786 0911 9904),,General Items,general_items,EA,,2026-07-12 10:48:41
wire code (multi code),Wire Code (Multi Code),,Electrical,electrical,EA,,2026-07-12 10:48:41
wifi adapter,Wifi Adapter,,General Items,general_items,EA,,2026-07-12 10:48:41
19mm bush,19mm Bush,,Bearings & Seals,bearings_seals,EA,,2026-07-12 10:48:41
combination wrench 14mm,Combination Wrench 14mm,,General Items,general_items,EA,,2026-07-12 10:48:41
"alluminium l angle 1/2""","Alluminium L Angle 1/2""",Ft,General Items,general_items,Ft,,2026-07-12 10:48:41
track master pin,Track Master Pin,Batticoloa Site MR 174920,General Items,general_items,EA,,2026-07-12 10:48:41
door winder,Door Winder,,General Items,general_items,EA,,2026-07-12 10:48:41
24v 04pin relay,24V 04Pin Relay,,Electrical,electrical,EA,,2026-07-12 10:48:41
double head lamp relay x8003800 (24v 6pin),Double Head Lamp Relay X8003800 (24V 6Pin),Batticoloa,Electrical,electrical,EA,,2026-07-12 10:48:41
over roll kit (xl),Over Roll Kit (XL),,General Items,general_items,EA,,2026-07-12 10:48:41
over roll kit (l),Over Roll Kit (L),,General Items,general_items,EA,,2026-07-12 10:48:41
over  roll kit (xl),Over  Roll Kit (XL),,General Items,general_items,EA,,2026-07-12 10:48:41
pinion assy,Pinion Assy,,General Items,general_items,EA,,2026-07-12 10:48:41
door spring,Door Spring,Whare House Project,General Items,general_items,EA,,2026-07-12 10:48:41
bearing (6200du),Bearing (6200DU),Whare House Project,Bearings & Seals,bearings_seals,EA,,2026-07-12 10:48:41
bearing (6000du),Bearing (6000DU),Whare House Project,Bearings & Seals,bearings_seals,EA,,2026-07-12 10:48:41
80w 90 gear oil,80W 90 Gear Oil,,Oil & Lubricants,oil_lubricants,EA,,2026-07-12 10:48:41
oil filter (f 002 h20 247 8f),Oil Filter (F 002 H20 247 8F),,Filters,filters,EA,,2026-07-12 10:48:41
fuel filter,Fuel Filter,Set,Filters,filters,Set,,2026-07-12 10:48:41
fuel filter (2126331k91),Fuel Filter (2126331K91),,Filters,filters,EA,,2026-07-12 10:48:41
filler,Filler,,General Items,general_items,EA,,2026-07-12 10:48:41
