asset_code,asset_name,is_equipment,created_at
LO-5981,LO-5981,0,2026-07-12 10:48:40
AC-38,AC-38,0,2026-07-12 10:48:40
GE-82,GE-82,0,2026-07-12 10:48:40
LA-9208,LA-9208,0,2026-07-12 10:48:40
LJ-5559,LJ-5559,0,2026-07-12 10:48:40
EQP-police power generator,police power generator,1,2026-07-12 10:48:40
HU-5097,HU-5097,0,2026-07-12 10:48:40
ZA-2963,ZA-2963,0,2026-07-12 10:48:40
TM-20,TM-20,0,2026-07-12 10:48:40
LK-5041,LK-5041,0,2026-07-12 10:48:40
49-2288,49-2288,0,2026-07-12 10:48:40
PD-6917,PD-6917,0,2026-07-12 10:48:40
LN-1867,LN-1867,0,2026-07-12 10:48:40
ZA-6069,ZA-6069,0,2026-07-12 10:48:40
PA-6398,PA-6398,0,2026-07-12 10:48:40
RA-3051,RA-3051,0,2026-07-12 10:48:40
SL-11,SL-11,0,2026-07-12 10:48:40
AC-32,AC-32,0,2026-07-12 10:48:40
ZA-2964,ZA-2964,0,2026-07-12 10:48:40
ASC-13,ASC-13,0,2026-07-12 10:48:40
48-4849,48-4849,0,2026-07-12 10:48:40
RD-3536,RD-3536,0,2026-07-12 10:48:40
LB-4824,LB-4824,0,2026-07-12 10:48:40
DAH-2491,DAH-2491,0,2026-07-12 10:48:40
LY-4524,LY-4524,0,2026-07-12 10:48:40
HEX-22,HEX-22,0,2026-07-12 10:48:40
LO-7855,LO-7855,0,2026-07-12 10:48:40
PTR-06,PTR-06,0,2026-07-12 10:48:40
SR-04,SR-04,0,2026-07-12 10:48:40
LK-5586,LK-5586,0,2026-07-12 10:48:40
EQP-Bar bender,Bar bender,1,2026-07-12 10:48:40
ZA-8373,ZA-8373,0,2026-07-12 10:48:40
LK-5047,LK-5047,0,2026-07-12 10:48:40
ZA-6255,ZA-6255,0,2026-07-12 10:48:40
SL-03,SL-03,0,2026-07-12 10:48:40
HEX-24,HEX-24,0,2026-07-12 10:48:40
PH-6747,PH-6747,0,2026-07-12 10:48:40
RS-0483,RS-0483,0,2026-07-12 10:48:40
LD-05,LD-05,0,2026-07-12 10:48:40
EQP-3 phase motor,3 phase motor,1,2026-07-12 10:48:40
PA-4193,PA-4193,0,2026-07-12 10:48:40
325-5120,325-5120,0,2026-07-12 10:48:40
ASC-23,ASC-23,0,2026-07-12 10:48:40
LK-4061,LK-4061,0,2026-07-12 10:48:40
AP-08,AP-08,0,2026-07-12 10:48:40
LC-0434,LC-0434,0,2026-07-12 10:48:40
LI-2427,LI-2427,0,2026-07-12 10:48:40
LN-8277,LN-8277,0,2026-07-12 10:48:40
LN-8278,LN-8278,0,2026-07-12 10:48:40
LN-8279,LN-8279,0,2026-07-12 10:48:40
LH-5586,LH-5586,0,2026-07-12 10:48:40
HD-9005,HD-9005,0,2026-07-12 10:48:40
DAH-2231,DAH-2231,0,2026-07-12 10:48:40
PR-1469,PR-1469,0,2026-07-12 10:48:40
