job_card_no,asset_code,site_name,work_desc,date_opened,date_closed,status,job_type,remarks,odometer_at_job,odometer_unit,hours,cost,ref_no,source_sheet,source_import,created_at
2023/3/R/27,LO-5981,Badalgama,Replaced fuel filters 135198Km,2023-03-13,2023-03-13,CLOSED,,,135198,Km,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/28,AC-38,Muthur Plant,change filters,2023-03-14,2023-03-20,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/29,GE-82,Muthur Plant,change filters,2023-03-14,2023-03-20,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/30,LA-9208,Muthur Plant,Gear box repair,2023-03-14,2023-09-10,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/31,LJ-5559,Muthur Plant,Starter motor repair-katana,2023-03-14,2023-03-31,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/32,EQP-police power generator,Badalgama,,2023-02-02,2023-03-20,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/33,HU-5097,Badalgama,adjusted hand brakes,2023-03-14,2023-03-14,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/34,ZA-2963,Katana,"hy. leak, alternator leak",2023-03-14,2023-03-16,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/35,TM-20,Badalgama,Hy.sys. Defect,2023-03-14,2023-03-23,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/36,LK-5041,Badalgama,Radiator core water leak,2023-03-11,2023-03-17,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/37,49-2288,Badalgama,"service , steering seal leak",2023-03-12,2023-03-23,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/38,PD-6917,Badalgama,"starting defect, hand brake repair",2023-03-14,2023-03-14,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/39,LN-1867,Badalgama,Engine minor repair,2023-02-13,2023-06-23,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/40,ZA-2963,Katana,U-joint bolt replacing,2023-03-15,2023-03-15,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/41,ZA-6069,Galenbidunuwewa,"replaced outriger & loader lift jack seal, multi bucket repair",2023-03-15,2023-03-20,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/42,PA-6398,Chilaw,"starter key cuttng,wheel alignment",2023-03-15,2023-03-16,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/43,RA-3051,Mundalama Estate,"servie, tyre ,battery, elec. Repair",2023-03-15,2023-05-25,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/44,SL-11,Badalgama,Travelling motor repair,2023-03-18,2023-03-28,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/45,AC-32,Badalgama,"Replaced water jacket, inspection machine condition",2023-03-17,2023-03-20,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/46,ZA-2964,Katana,"Alternator repair, backhoe clamp housing oil leak",2023-03-17,2023-03-24,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/47,ASC-13,Katana,Starting defect,2023-03-20,2023-03-31,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/48,48-4849,Badalgama,clutch repair,2023-03-18,2023-03-24,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/49,RD-3536,Badalgama,"Elec. Repair, fan pulley",2023-06-15,2023-07-04,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/50,LB-4824,Solution,brake repair,2023-03-22,2023-05-08,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/51,DAH-2491,Katana,"check brake pads, spring blade bushing",2023-03-22,2023-03-23,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/52,LY-4524,Badalgama,low bed tailor brake repair,2023-03-13,2023-03-20,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/53,HEX-22,Kottukachchi,"silensor repair, fix main switch, battery post rpair, jack seal replace, check track adjustment, elec. Repair",2023-03-22,2023-04-23,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/54,LO-7855,Solution,"cltch slave pump oil leak, boom accelerator check , wheel alignment",2023-03-22,2023-03-22,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/55,PTR-06,Badalgama,steering seal,2023-03-21,2023-03-24,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/56,SR-04,Badalgama,"service, fan belt",2023-03-21,2023-03-23,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/57,LK-5586,Badalgama,"spring blade repair,runing repair",2023-03-22,2023-05-12,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/58,EQP-Bar bender,Maggona,electric motor re-winding,2023-03-22,,OPEN,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
2023/3/R/59,ZA-8373,Badalgama,replaced jack seal,2023-03-21,2023-04-25,CLOSED,,,,,,,,Requested job,EXCEL_MIGRATION_2026,2026-07-12 10:48:40
