job_card_no,asset_code,site_name,status,date_opened,date_closed,odometer_at_job,odometer_unit,hours,cost,ref_no,source_sheet,work_desc,remarks
2023/3/R/62,SL-03,Badalgama,PENDING,,,,,,,,Requested job,Bucket pin bush repair,Not done
2023/4/R/101,SL-04,Galenbidunuwewa,PENDING,,,,,,,,Requested job,"Travelling sys. Repair, machine slow of operation",Not done
2023/5/R/152,SL-08,Galenbidunuwewa,PENDING,,,,,,,,Requested job,"Travelling motor oil leak, silensor repair",Not done
2023/5/R/181,SL-06,Chilaw,PENDING,,,,,,,,Requested job,Check & repair,
2023/5/R/183,ZA-7291,TR-01,PENDING,,,,,,,,Requested job,Check & repair,
2023/6/R/207,LK-2276,Katana,CANCELLED,,,,,,,,Requested job,"R/door repair, side door repair, F/LH foot board repair, silensor, number plate bulb",Cancel
2023/6/R/216,PH-6744,Puttlam,CANCELLED,,,,,,,,Requested job,"E/oil leak from crank seal, brake repair, fuel sys. Repair, Engine repair",Cancel
2023/6/R/222,LN-8277,Badalgama,PENDING,,,,,,,,Requested job,A/C repair,No date of completion
2023/6/R/227,PD-4739,Badalgama,PENDING,,,,,,,,Requested job,A/C repair,
2023/6/R/243,HU-5097,Badalgama,CANCELLED,,,,,,,,Requested job,"accelerator, clutch brake pedal boot",Cancel
2023/7/R/303,LP-1569,Badalgama,PENDING,,,,,,,,Requested job,"chk head light, water temp. meter",Not done
2024/11/R/848,PH-3945,H/O,CANCELLED,,,,,,,,Requested job,"replace door beeding, rim cap, gear lever bbot",Cancel
2024/2/R/140,PH-0765,,PENDING,,,301607,Km,,,24-140,C-job,"replaced steering U-joint, checked suspension system, electric horn,gear lever bushes, replaced propellar shaft u-joint",
2024/5/R/308,57-3062,h/o,CANCELLED,,,,,,,,Requested job,"A/C , buffer paint, light , F/RH door lock repir, fuel meter repair",Cancel
2024/9/R/633,VR-40,,PENDING,,,,,,,,Requested job,,
2024/9/R/634,VR-08,,PENDING,,,,,,,,Requested job,,
2024/9/R/635,GE-152,,PENDING,,,,,,,,Requested job,,
2024/9/R/636,TR-124,,PENDING,,,,,,,,Requested job,,
2024/9/R/637,WP-89,,PENDING,,,,,,,,Requested job,,
2024/9/R/638,KA-05,,PENDING,,,,,,,,Requested job,,
2024/9/R/639,TR-63,,PENDING,,,,,,,,Requested job,,
2024/9/R/640,TR-153,,PENDING,,,,,,,,Requested job,,
2024/9/R/641,GE-95,,PENDING,,,,,,,,Requested job,,
2024/9/R/642,GE-20,,PENDING,,,,,,,,Requested job,,
2024/9/R/643,TR-115,,PENDING,,,,,,,,Requested job,,
2024/9/R/648,EQP-concrete mixture,,PENDING,,,,,,,,Requested job,,
2025/1/R/063,SL-07,Badalgama,PENDING,,,,,,,,Requested job,chk & repair-came from c-com,
2025/10/R/767,EQP-Elec. Air compressor,Muthur Plant,PENDING,,,,,,,,Requested job,Low air pressure,MJ
2025/10/R/768,EQP-Elec. Air compressor,Muthur Plant,PENDING,,,,,,,,Requested job,Low air pressure,MJ
2025/10/R/770,PTR-10,Asphalt Team,PENDING,,,,,,,,Requested job,"Brake repair, light repair",MJ
2025/10/R/781,LX-1679,Badalgama,PENDING,,,,,,,,Requested job,Brake repair,
2025/10/R/783,LK-5586,cep-03,PENDING,,,,,,,,Requested job,Low pulling power,MJ
2025/10/R/816,EQP-one bag mixture,Mathale,PENDING,,,,,,,,Requested job,check & repair,MJ
2025/10/R/833,LI-3402,Muthur Plant,PENDING,,,,,,,,Requested job,Repring blade replacement,SSO
2025/11/R/842,LO-5984,Badalgama,PENDING,,,,,,,,Requested job,abnormal noise of engine,
2025/11/R/855,AC-41,cep-03,PENDING,,,,,,,,Requested job,Engine overheating,MJ
2025/11/R/857,HEX-29,Mathale,PENDING,,,,,,,,Requested job,"Disel tank guard, idle wheel repair, bucket repair, hy. Hose, fan belt, air filter, AC repair",MJ
2025/11/R/881,GL-0019,Badalgama,PENDING,,,,,,,,Requested job,"comprssor hose, head light, cabin jack seal",
2025/11/R/892,CR-02,cep-03,PENDING,,,,,,,,Requested job,"boom jack seal, Elec. Deffect-display overload without load, limit switch repair",MJ
2025/11/R/903,LA-4229,Muthur Plant,PENDING,,,,,,,,Requested job,"cabin tinkering, deck repair",MJ
2025/11/R/905,41-7225,Solution,PENDING,,,,,,,,Requested job,Brake repair,MJ
2025/11/R/912,LK-4058,cep-03,PENDING,,,,,,,,Requested job,"silensor repair, gear box repair",MJ
2025/11/R/917,,,PENDING,,,,,,,,Requested job,,
2025/11/R/918,,,PENDING,,,,,,,,Requested job,,
2025/2/R/148,LP-1582,Badalgama,CANCELLED,,,,,,,,Requested job,"Black smoke, insufficient pulling force",cancel
2025/2/R/156,49-5294,,PENDING,,,,,,,,Requested job,Duplicate -2025/2/R/152,
2025/3/R/228,57-3062,Badalgama,CANCELLED,,,,,,,,Requested job,"Pinion oil leak,AC repair- 25.03.2025",cancel
2025/4/R/311,LP-1571,,PENDING,,,,,,,,Requested job,Duplicate -2025/3/R/251,
2025/8/R/628,AC-32,Ruwanwella,PENDING,,,,,,,,Requested job,,
2025/9/R/672,SL-08,Kalalgamuwa,PENDING,,,,,,,,Requested job,"Bucket jack lowering, chk battery charging-ok",
2025/9/R/673,LK-4061,cep-03,PENDING,,,,,,,,Requested job,"clutch repair, low pulling force, unable to engage gears properly",
2026/1/R/024,LP-1712,Badalgama,CANCELLED,,,,,,,,Requested job,"RH door lock repair, brake light NW",Cancel
2026/1/R/037,LN-8279,Badalgama,PENDING,,,,,,,,Requested job,Speedo meter repair,MR
2026/1/R/038,LY-1614,Badalgama,PENDING,,,,,,,,Requested job,Speedo meter repair,MR
2026/1/R/039,GL-0019,Badalgama,CANCELLED,,,,,,,,Requested job,Speedo meter repair,Cancel
2026/1/R/040,LL-1782,Badalgama,CANCELLED,,,,,,,,Requested job,Speedo meter repair,Cancel
2026/1/R/045,LK-5041,Badalgama,CANCELLED,,,,,,,,Requested job,Replace head lights,Cancel
2026/2/R/075,AC-37,Muthur Plant,CANCELLED,,,,,,,,Requested job,Check & repair,Cancel
2026/3/R/145,MG-04,Marawila,PENDING,,,,,,,,Requested job,"Brake repair, jack seal(blade shift, blade lift),tandem oil leak, check service",MJ
2026/3/R/147,325-5120,Badalgama,CANCELLED,,,,,,,,Requested job,R/RH hub oil leak,Cancel
2026/3/R/150,LM-7949,Badalgama,PENDING,,,,,,,,Requested job,Elec. Repair(lights),MR
2026/3/R/193,LO-8348,Badalgama,PENDING,,,,,,,,Requested job,"MNW, center joint mount, wire harness repair",MR
2026/4/R/206,HEX-21,CEP-03,PENDING,,,,,,,,Requested job,"Engine overheating, bucket repair, service, Hy. Leak repair",MJ
2026/4/R/211,EQP-1T Roller,Musali,PENDING,,,,,,,,Requested job,Check & repair,MR
2026/4/R/216,LO-4824,Badalgama,PENDING,,,,,,,,Requested job,Tipping sys. Repair,MR
2026/4/R/236,LM-5720,CEP-03,CANCELLED,,,,,,,,Requested job,"Supply spares-(heat meter, HR meter, S/M cable, clutch hose, p/s pump seal",Cancel
2026/5/R/258,HEX-26,Muthur Plant,CLOSED,,2026-05-28,,,,,,Requested job,"undercarriage major repair, bucket repair, starter motor relay, swing motor free play, boom jack seal, side mirror fix",MJ
2026/5/R/266,CR-02,CEP-03,CLOSED,,2026-05-29,,,,,,Requested job,"Replaced engine mounts, FD oil leak(4WD), boom jack seal",MJ
2026/6/R/319,LD-08,Badalgama,PENDING,,,,,,,,Requested job,"Steering jack pin repair, center Pin free play.",
2026/6/R/321,LX-1045,Badalgama,PENDING,,,,,,,,Requested job,"Final drive system repair, Check & replace Hub bolt & nut, Check & replace rims.",
2026/6/R/342,LI-7618,CEP-03,PENDING,,,,,,,,Requested job,"Oil change wiper repair,F/cab mount repir, F/ brake pin repair, Silancer repair, F/LH door lock, door winder repair, pinion repair,Light repair, F/ Foot rack repair,speedo meter check and repair,",
2026/6/R/345,51-7158,,CANCELLED,,,,,,,,Requested job,Fix Seat belt,Cancell
2026/6/R/350,EQP-Engine driven water pump,Panama Site,PENDING,,,,,,,,Requested job,Prepair a machine,
2026/6/R/357,HEX-29,Badalgama,PENDING,,,,,,,,Requested job,"Engine mount repair,Undercarriage check and repair, AC repair,Electrical system check and repair",
2026/6/R/364,ZA-2964,Batticaloa,PENDING,,,,,,,,Requested job,"Jack seal,Valve box oil leak, starter motor repair,4WD propeller shaft repair,filter head, radiator cleaning,fan belt adust noice",
2026/7/R/383,LY-1614,Badalgama,PENDING,,,,,,,,Requested job,"Service,Cabin light rear fog light 2 nos fixing",
2023/3/R/32,EQP-police power generator,Badalgama,CLOSED,2023-02-02,2023-03-20,,,,,,Requested job,,
2023/3/R/39,LN-1867,Badalgama,CLOSED,2023-02-13,2023-06-23,,,,,,Requested job,Engine minor repair,
2023/3/R/36,LK-5041,Badalgama,CLOSED,2023-03-11,2023-03-17,,,,,,Requested job,Radiator core water leak,
2023/3/R/37,49-2288,Badalgama,CLOSED,2023-03-12,2023-03-23,,,,,,Requested job,"service , steering seal leak",
2023/3/R/27,LO-5981,Badalgama,CLOSED,2023-03-13,2023-03-13,135198,Km,,,,Requested job,Replaced fuel filters 135198Km,
2023/3/R/52,LY-4524,Badalgama,CLOSED,2023-03-13,2023-03-20,,,,,,Requested job,low bed tailor brake repair,
2023/3/R/28,AC-38,Muthur Plant,CLOSED,2023-03-14,2023-03-20,,,,,,Requested job,change filters,
2023/3/R/29,GE-82,Muthur Plant,CLOSED,2023-03-14,2023-03-20,,,,,,Requested job,change filters,
2023/3/R/30,LA-9208,Muthur Plant,CLOSED,2023-03-14,2023-09-10,,,,,,Requested job,Gear box repair,
2023/3/R/31,LJ-5559,Muthur Plant,CLOSED,2023-03-14,2023-03-31,,,,,,Requested job,Starter motor repair-katana,
2023/3/R/33,HU-5097,Badalgama,CLOSED,2023-03-14,2023-03-14,,,,,,Requested job,adjusted hand brakes,
2023/3/R/34,ZA-2963,Katana,CLOSED,2023-03-14,2023-03-16,,,,,,Requested job,"hy. leak, alternator leak",
2023/3/R/35,TM-20,Badalgama,CLOSED,2023-03-14,2023-03-23,,,,,,Requested job,Hy.sys. Defect,
2023/3/R/38,PD-6917,Badalgama,CLOSED,2023-03-14,2023-03-14,,,,,,Requested job,"starting defect, hand brake repair",
2023/3/R/40,ZA-2963,Katana,CLOSED,2023-03-15,2023-03-15,,,,,,Requested job,U-joint bolt replacing,
2023/3/R/41,ZA-6069,Galenbidunuwewa,CLOSED,2023-03-15,2023-03-20,,,,,,Requested job,"replaced outriger & loader lift jack seal, multi bucket repair",
2023/3/R/42,PA-6398,Chilaw,CLOSED,2023-03-15,2023-03-16,,,,,,Requested job,"starter key cuttng,wheel alignment",
2023/3/R/43,RA-3051,Mundalama Estate,CLOSED,2023-03-15,2023-05-25,,,,,,Requested job,"servie, tyre ,battery, elec. Repair",
2023/3/R/45,AC-32,Badalgama,CLOSED,2023-03-17,2023-03-20,,,,,,Requested job,"Replaced water jacket, inspection machine condition",
2023/3/R/46,ZA-2964,Katana,CLOSED,2023-03-17,2023-03-24,,,,,,Requested job,"Alternator repair, backhoe clamp housing oil leak",
2023/3/R/44,SL-11,Badalgama,CLOSED,2023-03-18,2023-03-28,,,,,,Requested job,Travelling motor repair,
2023/3/R/48,48-4849,Badalgama,CLOSED,2023-03-18,2023-03-24,,,,,,Requested job,clutch repair,
2023/3/R/72,HU-5097,Badalgama,CLOSED,2023-03-18,2023-03-18,,,,,,Requested job,Elec repair,
2023/3/R/47,ASC-13,Katana,CLOSED,2023-03-20,2023-03-31,,,,,,Requested job,Starting defect,
2023/3/R/55,PTR-06,Badalgama,CLOSED,2023-03-21,2023-03-24,,,,,,Requested job,steering seal,
2023/3/R/56,SR-04,Badalgama,CLOSED,2023-03-21,2023-03-23,,,,,,Requested job,"service, fan belt",
2023/3/R/59,ZA-8373,Badalgama,CLOSED,2023-03-21,2023-04-25,,,,,,Requested job,replaced jack seal,
2023/3/R/50,LB-4824,Solution,CLOSED,2023-03-22,2023-05-08,,,,,,Requested job,brake repair,
2023/3/R/51,DAH-2491,Katana,CLOSED,2023-03-22,2023-03-23,,,,,,Requested job,"check brake pads, spring blade bushing",
2023/3/R/53,HEX-22,Kottukachchi,CLOSED,2023-03-22,2023-04-23,,,,,,Requested job,"silensor repair, fix main switch, battery post rpair, jack seal replace, check track adjustment, elec. Repair",
2023/3/R/54,LO-7855,Solution,CLOSED,2023-03-22,2023-03-22,,,,,,Requested job,"cltch slave pump oil leak, boom accelerator check , wheel alignment",
2023/3/R/57,LK-5586,Badalgama,CLOSED,2023-03-22,2023-05-12,,,,,,Requested job,"spring blade repair,runing repair",
2023/3/R/58,EQP-Bar bender,Maggona,OPEN,2023-03-22,,,,,,,Requested job,electric motor re-winding,
2023/3/R/60,LK-5047,Badalgama,CLOSED,2023-03-23,2023-03-28,,,,,,Requested job,"service , running repair, spring blade repair",
2023/3/R/61,ZA-6255,Badalgama,PENDING,2023-03-23,,,,,,,Requested job,"service , running repair",Not done
2023/3/R/64,PH-6747,Badalgama,CLOSED,2023-03-23,2023-04-27,,,,,,Requested job,"seat cushion,fuel sys. Reapir",
2023/3/R/66,RS-0483,Katana,CLOSED,2023-03-23,2023-03-24,,,,,,Requested job,Backhoe clamp seal,
2023/3/R/68,EQP-3 phase motor,Badalgama,OPEN,2023-03-23,,,,,,,Requested job,winding,A/plant
2023/3/R/67,LD-05,Badalgama,CLOSED,2023-03-24,2023-03-25,,,,,,Requested job,External repair,
2023/3/R/69,PA-4193,H/O,CLOSED,2023-03-25,2023-03-31,,,,,,Requested job,"3rd gear cant engage, LHS door glass cant operate by switch, fix reverse lamp",
2023/3/R/71,ZA-2963,Katana,CLOSED,2023-03-25,2023-03-31,,,,,,Requested job,Rear RHS wheel not rotate,
2023/3/R/73,ASC-23,Katana,CLOSED,2023-03-25,2023-03-31,,,,,,Requested job,starting defect,
2023/3/R/63,HEX-24,Badalgama,CLOSED,2023-03-27,2023-04-28,,,,,,Requested job,"dozer jack oil leak, check starter motor",
2023/3/R/75,AP-08,Mihinthale,CLOSED,2023-03-27,2023-03-27,,,,,,Requested job,hy.jack repair,
2023/5/R/132,HEX-39,Chilaw,CLOSED,2023-03-27,2023-04-22,,,,,,Requested job,condensor fan repair,
2023/3/R/74,LK-4061,Badalgama,CLOSED,2023-03-28,2023-03-28,,,,,,Requested job,"Elec .repair,service",
2023/3/R/76,LC-0434,Badalgama,CLOSED,2023-03-29,2023-09-24,,,,,,Requested job,"fuel sys. Repair,boom stabilizer repair",
2023/3/R/77,LI-2427,Badalgama,CLOSED,2023-03-30,2023-04-04,,,,,,Requested job,"Air sys. Repair,battery not charging, MNW",
2023/3/R/78,LN-8277,Badalgama,CLOSED,2023-03-30,2023-04-10,,,,,,Requested job,"hy. & E/oil leak, Comp. air leak, dash board indicators not work",
2023/3/R/79,LN-8278,Badalgama,CLOSED,2023-03-30,2023-03-31,,,,,,Requested job,"F/LH side mirror doesnot turn,adjusted clutch, dash board meter repair",
2023/3/R/80,LK-5041,Badalgama,CLOSED,2023-03-31,2023-03-31,,,,,,Requested job,"compressed air leak,RHS side lamp",
2023/3/R/81,LN-8279,Badalgama,CLOSED,2023-03-31,2023-04-01,,,,,,Requested job,"Service,F/bumper repair",
2023/3/R/82,HEX-22,Badalgama,CLOSED,2023-03-31,2023-04-23,,,,,,Requested job,"silensor repair, jack seal, battery post filling, tappet cover oil leak, arm end bushing & pin filling",
