legacy_receipt_id,legacy_item_id,item_name,received_qty,delivery_date,purchase_source,grn_number,invoice_number,supplier_name,unit_price,is_priced,transaction_type
393,6616,Holder,4,0004-03-17,Local Purchase,230481,,S.E.A Electrical,200,1,Receive
2697,9401,Oil Filter (TH93286),2,2025-08-27,Direct Purchase,189523,1862,Kumara Filters (pvt) Ltd,1900,1,Receive
2698,9400,Fuel Filter (IR0751),1,2025-08-27,Direct Purchase,189523,1862,Kumara Filters (pvt) Ltd,13500,1,Receive
2699,9399,Oil Filter (IR0739 CAT),1,2025-08-27,Direct Purchase,189523,1862,Kumara Filters (pvt) Ltd,14000,1,Receive
2663,9371,Air Seperator Filter (SA-488),1,2025-10-23,Direct Purchase,189516,2146,Kumara Filters (pvt) Ltd,37000,1,Receive
2672,9372,Hydrolic Filter (SFH4020),1,2025-10-23,Direct Purchase,189516,2146,Kumara Filters (pvt) Ltd,5500,1,Receive
2670,9373,Air  Filter Set (SFA6158),1,2025-10-24,Direct Purchase,189517,2149,Kumara Filters (pvt) Ltd,13500,1,Receive
2671,9374,Hydrolic Filter (R164381),2,2025-10-24,Direct Purchase,189517,2149,Kumara Filters (pvt) Ltd,14999.99,1,Receive
2681,9383,Hydraulic Breather Filter (31EE-02110),1,2025-10-25,Direct Purchase,189519,2159,Kumara Filters (pvt) Ltd,5500,1,Receive
2673,9375,Oil Filter (O.6746),1,2025-10-27,Direct Purchase,189518,2150,Kumara Filters (pvt) Ltd,6700,1,Receive
2674,9376,Fuel Filter (F-385),1,2025-10-27,Direct Purchase,189518,2150,Kumara Filters (pvt) Ltd,4000,1,Receive
2675,9377,Fuel Filter (F-641),1,2025-10-27,Direct Purchase,189518,2150,Kumara Filters (pvt) Ltd,4000,1,Receive
2676,9378,Air Filter (JS-3803) Set,1,2025-10-27,Direct Purchase,189518,2150,Kumara Filters (pvt) Ltd,21000,1,Receive
2677,9379,Oil Filter (C-1712),1,2025-10-27,Direct Purchase,189518,2150,Kumara Filters (pvt) Ltd,2500,1,Receive
2678,9380,Hydraulic Suction Filter (E-131-0214),1,2025-10-27,Direct Purchase,189519,2159,kUMARA fILTERS (pvt) Ltd,16500,1,Receive
2679,9381,Hydraulic Filter (HC-7901),1,2025-10-27,Direct Purchase,189519,2159,Kumara Filters (pvt) Ltd,4450,1,Receive
2680,9382,Hydraulic Return Filter (31NF-01461),1,2025-10-27,Direct Purchase,189519,2159,Kumara Filters (pvt) Ltd,20000,1,Receive
2700,9404,Gum Boot,1,2025-10-28,Direct Purchase,189524,5182,Qulity Traders,3200,1,Receive
2701,9403,Safety Shoe,17,2025-10-28,Direct Purchase,189524,5182,Qulity Traders,6500,1,Receive
2702,9402,Over Roll,13,2025-10-28,Direct Purchase,189524,5182,Qulity Traders,2850,1,Receive
2854,9511,12V/ LED Fog Light,2,2025-10-29,Local Store,189340,,Radeeka Motor Traders,1600,1,Receive
2682,9384,Oil Filter (21707134/ Valvo),2,2025-11-03,Direct Purchase,189520,2197,Kumara Filters (pvt) Ltd,8507.08,1,Receive
2683,9385,Oil Bypass Filter (21707132),1,2025-11-03,Direct Purchase,189520,2197,Kumara Filters (pvt) Ltd,8500,1,Receive
2684,9386,Fuel Seperator Filter (21380488),1,2025-11-03,Direct Purchase,189520,2197,Kumara Filters (pvt) Ltd,12000,1,Receive
2685,9387,FUel Filter (20976003),1,2025-11-03,Direct Purchase,189520,2197,Kumara Filters (pvt) Ltd,10500.01,1,Receive
2686,9388,Air Filter (AF-25333),1,2025-11-03,Direct Purchase,189520,2197,Kumara Filters (pvt) Ltd,25000,1,Receive
2688,9389,Oil Filter (9451037424),1,2025-11-04,Direct Purchase,189521,2206,Kumara Filters (pvt) Ltd,1500,1,Receive
2689,9390,Fuel Filter (FHN00400/500),1,2025-11-04,Direct Purchase,189521,2206,Kumara Filters (pvt) Ltd,1500,1,Receive
2690,9392,Oil Filter (C-1503),2,2025-11-04,Direct Purchase,189521,2206,Kumara Filters (pvt) Ltd,2200,1,Receive
2691,9395,Air Filter (JS-3090AB),1,2025-11-04,Direct Purchase,189521,2206,Kumara Filters (pvt) Ltd,14000,1,Receive
2692,9394,Fuel Filter FC-510),1,2025-11-04,Direct Purchase,189521,2206,Kumara Filters (pvt) Ltd,3500,1,Receive
2693,9393,Oil Filter (C-525),1,2025-11-04,Direct Purchase,189521,2206,Kumara Filters (pvt) Ltd,12900,1,Receive
2694,9398,Fuel Filter (JS-1059/Jeson),1,2025-11-04,Direct Purchase,189522,2206,Kumara Filters (pvt) Ltd,5100,1,Receive
2695,9397,Fuel Filter (423-8521/CAT),1,2025-11-04,Direct Purchase,189522,2206,Kumara Filters (pvt) Ltd,40000.01,1,Receive
2696,9396,Oil Filter (1R 1808/CAT),1,2025-11-04,Direct Purchase,189522,2206,Kumara Filters (pvt) Ltd,35000,1,Receive
1377,8139,Air Filter,1,2025-12-10,Head Office,,,,,0,Receive
1390,8152,Turbo Repair,1,2025-12-10,Head Office,,,,,0,Receive
1391,8153,Bearing,1,2025-12-10,Head Office,,,,,0,Receive
1392,8154,Air Filter,1,2025-12-10,Head Office,,,,,0,Receive
1,5934,Air Filter (JS-3700),1,2025-12-11,Head Office,189528,2372,Kumara Filters (pvt) Ltd,14999.99,1,Receive
223,6293,Kerosene Oil,21,2025-12-11,Local Purchase,189356,112BF01305874,Badalgama Co-op City,187,1,Receive
224,6294,Petrol,3.4,2025-12-11,Local Purchase,189357,14333,Lanka IOC,294.12,1,Receive
1378,8140,Brake Pad,4,2025-12-11,Head Office,,,,,0,Receive
1393,8155,0-570 Oil Filter,1,2025-12-11,Head Office,,,,,0,Receive
1394,8156,C-805 Oil Filter,1,2025-12-11,Head Office,230105,2372,Kumara Filters (pvt) Ltd,1900,1,Receive
1395,8157,Turbo,1,2025-12-11,Head Office,,,,,0,Receive
1396,8158,Brake Pad,4,2025-12-11,Head Office,,,,,0,Receive
1399,8161,Hour Meter,1,2025-12-12,Local Purchase,,,,,0,Receive
1401,8163,Bolt,10,2025-12-12,Local Purchase,,,,,0,Receive
1402,8164,Bolt with S/washer,15,2025-12-12,Local Purchase,,,,,0,Receive
1403,8165,Polytheen Sealler Machine,1,2025-12-12,Local Purchase,,,,,0,Receive
1404,8166,6 WHL Polytheen Roll,1,2025-12-12,Local Purchase,,,,,0,Receive
1405,8167,Grease seal,4,2025-12-12,Head Office,,,,,0,Receive
1406,8168,80���95���90mm Bush,2,2025-12-12,Local Purchase,,,,,0,Receive
1407,8169,Hub Bearing,2,2025-12-12,Head Office,,,,,0,Receive
1408,8170,Hub Seal,2,2025-12-12,Head Office,,,,,0,Receive
1409,8171,Grease seal,2,2025-12-12,Head Office,,,,,0,Receive
1410,8172,Regulator,1,2025-12-12,Head Office,,,,,0,Receive
1411,8173,Carbon Brush Set,2,2025-12-12,Head Office,,,,,0,Receive
1412,8174,Carbon Brush Set,2,2025-12-12,Head Office,,,,,0,Receive
1413,8175,Turbo Packing,6,2025-12-12,Head Office,,,,,0,Receive
1414,8176,Regulator,1,2025-12-12,Local Purchase,,,,,0,Receive
1415,8177,Drod Plate,1,2025-12-12,Local Purchase,,,,,0,Receive
1416,8178,A/C Repair 25/?,1,2025-12-12,Local Purchase,,,,,0,Receive
2949,6665,3. Auto Wire 9/0.30,1,2025-12-12,Local Store,189377,10461,Otek Motor House,2400,1,Receive
1417,8179,Fuel Filter F5-19732,1,2025-12-13,Head Office,,,,,0,Receive
1418,8180,Oil Filter O-1516,1,2025-12-13,Head Office,,,,,0,Receive
1419,8181,Air Filter A-5627 AB,1,2025-12-13,Head Office,,,,,0,Receive
1420,8182,Wiper Blade with Arm,1,2025-12-13,Head Office,,,,,0,Receive
1421,8183,Dust Boot,16,2025-12-13,Head Office,,,,,0,Receive
1422,8184,Brake Washer,8,2025-12-13,Head Office,,,,,0,Receive
1423,8185,Hub Grease 500g,2,2025-12-13,Head Office,,,,,0,Receive
1424,8186,Gear Box Liver Ball Joint (Large),2,2025-12-13,Head Office,,,,,0,Receive
1425,8187,Gear Box Liver Ball Joint small,2,2025-12-13,Head Office,,,,,0,Receive
1426,8188,12 Pad Lock,2,2025-12-13,Local Purchase,,,,,0,Receive
1427,8189,Signal Light Switch,1,2025-12-13,Local Purchase,,,,,0,Receive
