mrnNum,itemName,vehicleMachinery,reqQty,recQty,hasUnpriced,importStatus,errorMessage
,Plug Top 13Amp,Hydrolic Hose Machine,1,0,0,skipped_no_mrn,missing mrnNum
,Plug Base 13Amp,Hydrolic Hose Machine,1,0,0,skipped_no_mrn,missing mrnNum
,Clear Polytheen Roll,Stores,1,1,1,skipped_no_mrn,missing mrnNum
,Thread Lock,Stores,0,2,1,skipped_no_mrn,missing mrnNum
,Brass Welding Rods,,0,0,0,skipped_no_mrn,missing mrnNum
,Hub Nut,,0,1,1,skipped_no_mrn,missing mrnNum
,Hub Bearing HM-218248,Bed Trailer,0,1,1,skipped_no_mrn,missing mrnNum
,Hose Clip,,0,2,1,skipped_no_mrn,missing mrnNum
,Hose (Water),Mahendra D/Cab,0,2,1,skipped_no_mrn,missing mrnNum
,Hand Brake Cable,,0,1,1,skipped_no_mrn,missing mrnNum
,PTO Shaft Nut & Bolt,,0,0,0,skipped_no_mrn,missing mrnNum
,U-Joint,,0,2,1,skipped_no_mrn,missing mrnNum
,Propeller Shaft Nut & Bolt,Batticaloa,0,6,1,skipped_no_mrn,missing mrnNum
,Clutch Release Bearing,,0,1,1,skipped_no_mrn,missing mrnNum
,Grease Nipple,Stores,0,10,1,skipped_no_mrn,missing mrnNum
,Jock Seal kit (Boom),Baticlaw,0,1,1,skipped_no_mrn,missing mrnNum
,Side Signal Light (L),PA-4679,0,1,1,skipped_no_mrn,missing mrnNum
,Injector (PA-639a),Received From Engine Room,0,4,1,skipped_no_mrn,missing mrnNum
,Bronze shaft (1��� x 1���),Water Pump Engine Repair Lodge Shop,0,1,1,skipped_no_mrn,missing mrnNum
,Differancel Tube,LI-7701 CEP/03,0,1,1,skipped_no_mrn,missing mrnNum
,Axel,LI-7701 CEP/03,0,1,1,skipped_no_mrn,missing mrnNum
,Angle Grinder DEWALT,DW-802,0,1,1,skipped_no_mrn,missing mrnNum
,Angle Grinder Stanley,,0,1,1,skipped_no_mrn,missing mrnNum
,Drain Valve,Electric Air Compressor,0,1,1,skipped_no_mrn,missing mrnNum
,Plug top,,0,2,1,skipped_no_mrn,missing mrnNum
,Sunbox cover,,0,6,1,skipped_no_mrn,missing mrnNum
,Plug base,,0,2,1,skipped_no_mrn,missing mrnNum
,Fuel Filter (Fe-1104),48-8060,0,1,1,skipped_no_mrn,missing mrnNum
,Oil Filter (C-101),48-8060,0,1,1,skipped_no_mrn,missing mrnNum
,Signal Light Set,LB-4824 TATA 207,0,2,1,skipped_no_mrn,missing mrnNum
,Bonet Cable,LB-4824 TATA 207,0,1,1,skipped_no_mrn,missing mrnNum
,Glass Winder,LB-4824 TATA 207,0,1,1,skipped_no_mrn,missing mrnNum
,Door Lock L/P,LB-4824 TATA 207,0,2,1,skipped_no_mrn,missing mrnNum
,Cabin Shocks Absorber Bolt,LC-0434,0,1,1,skipped_no_mrn,missing mrnNum
,Injector Pump,SL-14 CEP,0,1,1,skipped_no_mrn,missing mrnNum
,Battery Terminal Normal,Stores,0,12,1,skipped_no_mrn,missing mrnNum
,Battery Terminal Butterfly,Stores,0,8,1,skipped_no_mrn,missing mrnNum
,Auto wine,Stores,0,1,1,skipped_no_mrn,missing mrnNum
,Packing (Alite),Stones,0,1,1,skipped_no_mrn,missing mrnNum
,Starter Motor New,ZA-7810,0,1,1,skipped_no_mrn,missing mrnNum
,956914 ring,LD-02,0,1,1,skipped_no_mrn,missing mrnNum
,956913 ring seal,LD-02,0,1,1,skipped_no_mrn,missing mrnNum
,956911 rings,LD-02,0,3,1,skipped_no_mrn,missing mrnNum
,853370 rings,LD-02,0,1,1,skipped_no_mrn,missing mrnNum
,8M8254 seal,LD-02,0,1,1,skipped_no_mrn,missing mrnNum
,6X7919 disc,LD-02,0,4,1,skipped_no_mrn,missing mrnNum
,K oil,Stores,0,22,1,skipped_no_mrn,missing mrnNum
,Hose clip,,0,2,1,skipped_no_mrn,missing mrnNum
,Hose,,0,4,1,skipped_no_mrn,missing mrnNum
,20A Fuse,Stores,0,3,1,skipped_no_mrn,missing mrnNum
,SPD,Stores,0,1,1,skipped_no_mrn,missing mrnNum
,Indicator Bulb,Stores,0,3,1,skipped_no_mrn,missing mrnNum
,100 Amp MCCB,Stores,0,1,1,skipped_no_mrn,missing mrnNum
,250 Amp MCCB,Stores,0,2,1,skipped_no_mrn,missing mrnNum
,Bronze Rod (5/6),Latha Shop,0,1,1,skipped_no_mrn,missing mrnNum
,Feed Pump Repair,Work Shop,0,1,1,skipped_no_mrn,missing mrnNum
,Number Plate Light,Work shop,0,1,1,skipped_no_mrn,missing mrnNum
,Fuel Filter (JS-1810),ZB-2586 / LB-22,0,1,1,skipped_no_mrn,missing mrnNum
,Fuel Filter (JS-1076),ZB-2586 / LB-22,0,1,1,skipped_no_mrn,missing mrnNum
,Light Repair,LO-6549,0,1,1,skipped_no_mrn,missing mrnNum
,Starter Motor Repair,LI-3401,0,1,1,skipped_no_mrn,missing mrnNum
,LED Panel Light,,0,0,0,skipped_no_mrn,missing mrnNum
,Copper sheet,Asphalt Plant,0,1,1,skipped_no_mrn,missing mrnNum
,Packing Sheet,Asphalt Plant,0,1,1,skipped_no_mrn,missing mrnNum
,Contact Cleaner,Stores,0,4,1,skipped_no_mrn,missing mrnNum
,Petrol,Stores,0,0,0,skipped_no_mrn,missing mrnNum
,K/ oil,Stores,0,21,1,skipped_no_mrn,missing mrnNum
,Selastic,Stores,0,6,1,skipped_no_mrn,missing mrnNum
,C-101 Oil Filter VIC,"PA-6399, PA-6398, 325-3448",0,3,1,skipped_no_mrn,missing mrnNum
,C-502 Oil Filter VIC,Jmc crew cab,0,4,1,skipped_no_mrn,missing mrnNum
,FC-707A - Fuel Filter VIC,Bobcat,0,6,1,skipped_no_mrn,missing mrnNum
,C-206 - Oil Filter VIC,Bobcat,0,12,1,skipped_no_mrn,missing mrnNum
,F-612 Fuel VIC,LN-8279,0,1,1,skipped_no_mrn,missing mrnNum
,0-609 Oil VIC,LN-8279,0,1,1,skipped_no_mrn,missing mrnNum
,F-507 Fuel Filter VIC Element,LL-1782,0,1,1,skipped_no_mrn,missing mrnNum
,0-579 Oil VIC,LL-1782,0,1,1,skipped_no_mrn,missing mrnNum
,NFC-158/FC-1104 Bakura,Toyota Crew cab -4,0,3,1,skipped_no_mrn,missing mrnNum
,NF-507/F-1503 Sakura (Fuel),Toyota Crew cab -4,0,4,1,skipped_no_mrn,missing mrnNum
,Starter Motor Repair,,0,1,1,skipped_no_mrn,missing mrnNum
,Starter Motor Repair,ZA-8337,0,1,1,skipped_no_mrn,missing mrnNum
,12V/3 pin Flasher,Stores,0,6,1,skipped_no_mrn,missing mrnNum
,34V/3 pin Flasher,Stores,0,6,1,skipped_no_mrn,missing mrnNum
,24V/5 pin Relay,Stores,0,6,1,skipped_no_mrn,missing mrnNum
,12V/5 pin Relay,Stores,0,6,1,skipped_no_mrn,missing mrnNum
,WD-40,Stores,0,5,1,skipped_no_mrn,missing mrnNum
,Ecolite 15w,Stores,0,4,1,skipped_no_mrn,missing mrnNum
,LED Panel Light,Stores,0,2,1,skipped_no_mrn,missing mrnNum
167442,Hub Grease 12Kg (Valvoline),Work Shop Stores,36,0,0,imported,
167441,Diesel,SMG-02,10,10,1,imported,
167440,Used Diesel,LB-1720,2,2,1,imported,
167094,Air Filter (PA-1055),ZB-1980,1,0,0,imported,
140617,PVC Tape,Work Shop Stores,1,1,1,imported,
165495,13Amp Plug Base,Tinkering Work Shop,2,0,0,imported,
165494,Inter Cooler Hose Clip,48-8072,4,0,0,imported,
165493,Wiper Motor Repair,28-4314,1,0,0,imported,
165493,Alternator Repair (Battery Not Working),28-4314,1,0,0,imported,
165492,Brake Light Cup (Rear L),41-1130,1,0,0,imported,
165492,Spring Blade Bush Replacing,41-1130,1,0,0,imported,
165491,Brake Light Cup (Rear),LP-1713,2,0,0,imported,
165490,"1 1/2""*2"" Copper Bronse",PA-6399,1,1,1,imported,
167439,Diesel,SL-09,20,20,1,imported,
167093,Fuel Filter Mahendra (AT54331/1001CAA 14881N),Work Shop Stock,1,0,0,imported,
167091,Fuel Filter (FC-1821),LN-1867,1,0,0,imported,
167091,Oil Filter (C-1511),LN-1867,1,0,0,imported,
167088,Primery Fuel Filter (FC-1521),HEX-05,1,0,0,imported,
167088,Air Filter (JS-3704A),HEX-05,1,0,0,imported,
167088,Engine Oil Filter (C-5604),HEX-05,1,0,0,imported,
167087,Oil Filter (JS-1876),MG-17,1,0,0,imported,
167087,Primery Fuel Filter (JS-1076),MG-17,2,0,0,imported,
167087,Fuel Water Separator (1000447498),MG-17,1,0,0,imported,
167085,Fuel Filter (32-925994),ZA-7034,1,0,0,imported,
167084,Oil Filter (C-206),VR-54,1,0,0,imported,
167084,Fuel Filter (FC 707A),VR-54,1,0,0,imported,
166083,Fuel Filter (2766 0798 9916),LY-1614,1,0,0,imported,
167083,Fuel Line Filter (2786 9999 9920),LY-1614,1,0,0,imported,
167083,Fuel Water Seperator (2786 0911 9904),LY-1614,1,0,0,imported,
166922,Wire Code (Multi Code),Work Shop Office,1,1,1,imported,
166922,Wifi Adapter,Work Shop Office,1,0,0,imported,
166921,19mm Bush,Work Shop Stores,1,0,0,imported,
166921,Combination Wrench 14mm,Work Shop Stores,1,0,0,imported,
166921,"Alluminium L Angle 1/2""",Work Shop Stores,24,0,0,imported,
165489,Track Master Pin,HEX-43,1,0,0,imported,
165488,Door Winder,HU-5097,1,0,0,imported,
165487,24V 04Pin Relay,LK-4057,2,0,0,imported,
165487,Double Head Lamp Relay X8003800 (24V 6Pin),LK-5047,1,0,0,imported,
165486,Over Roll Kit (XL),Tinker Nawathilaka,1,0,0,imported,
165486,Over Roll Kit (L),Machanical Dilipa,1,0,0,imported,
165486,Over  Roll Kit (XL),Machanic Kumara,1,0,0,imported,
165485,Pinion Assy,LP-1720,1,0,0,imported,
165484,Door Spring,CR-02,1,0,0,imported,
165484,Bearing (6200DU),CR-02,2,0,0,imported,
165484,Bearing (6000DU),CR-02,4,0,0,imported,
167438,80W 90 Gear Oil,Work Shop Stores,210,210,1,imported,
167082,Oil Filter (F 002 H20 247 8F),RC-9894,1,1,1,imported,
167082,Fuel Filter,RC-9894,1,1,1,imported,
167082,Fuel Filter (2126331K91),RC-9894,1,1,1,imported,
165483,Filler,LO-4824,2,2,1,imported,
165483,Primer,LO-4824,1,1,1,imported,
165483,"2"" Masking",LO-4824,1,1,1,imported,
165483,Paint Gray,LO-4824,3,3,1,imported,
165483,2K Lacker,LO-4824,1,1,1,imported,
165483,Slow Thinner,LO-4824,0.5,0.5,1,imported,
165482,Benjo Washer,HEX-17,20,0,0,imported,
